molecule,functional,oxidation_potential,reduction_potential
BOH-Acr_p,B97D3,1.6465467631787987,-0.7617711842937526
CA_1,B97D3,0.5778371396294452,-1.421553661180619
CA_2,B97D3,0.48115831453061697,-1.7305940312678763
CA_3,B97D3,0.7451096733565038,-1.2494029404569194
Eos_1,B97D3,-0.3078159798713379,-2.3015010951308845
Eos_2,B97D3,-0.14762412352768486,-2.1848507379696835
Eos_3,B97D3,-0.3108046075065468,-2.259834461150483
Eos_Y,B97D3,0.015176489381563657,-2.1511853428823544
Me2-Acr_1,B97D3,0.231006398922157,-2.455497188693082
Me2-Acr_2,B97D3,0.0011430281542819942,-2.3533600296575554
Me2-Acr_3,B97D3,0.24010534556143312,-2.0036759019497494
Mes-Acr_1,B97D3,2.3356571385809386,-0.8720625103002136
NCE_1,B97D3,0.9373908407044956,-1.944831529933626
NCE_2,B97D3,0.6061767202420582,-1.970699771550406
NCE_3,B97D3,0.724423025787155,-1.8178353999539683
NCE_4,B97D3,0.4663180354269244,-1.7909015600669864
PA_1,B97D3,-0.4175165464662681,-2.957441867102197
PA_2,B97D3,-0.3810516429638463,-2.372580255086166
PA_3,B97D3,-0.28491459677415365,-2.118021181750538
PDI_1,B97D3,1.0390381946139793,-0.884937038153298
PDI_2,B97D3,1.2165865678623633,-0.6654594409384277
PDI_3,B97D3,1.520990932403619,-0.42236643358848036
Ph-Acr_1,B97D3,0.8979179894757522,-1.3649574947020935
Ph-Acr_2,B97D3,1.1985905831455086,-1.0077883282684144
POZ_1,B97D3,-0.08073388589961841,-2.296378549813499
POZ_2,B97D3,0.02400277781019841,-2.3616924312598653
POZ_3,B97D3,-0.014436856707584239,-2.6840125068975786
POZ_4,B97D3,0.025521173718563078,-2.983274189681618
POZ_5,B97D3,-0.14730874344691128,-2.337047341901226
PTZ_1,B97D3,0.017775177694761973,-2.899171111313722
PTZ_2,B97D3,0.15303323176361747,-2.8977958473573744
PTZ_3,B97D3,0.08722573558344723,-2.619265166716442
Rh_6G,B97D3,0.7051900110014971,-1.3944785941377678
Rh_B,B97D3,0.6134633878936319,-1.3158899051961348
BF3-Acr_m,CAM-B3LYP-D3,2.0209965267298347,-0.9096566867408006
BF3-Acr_o,CAM-B3LYP-D3,1.9139087983915029,-1.0513703724261427
BF3-Acr_p,CAM-B3LYP-D3,2.0072890580393294,-0.8560556786377366
BOH-Acr_m,CAM-B3LYP-D3,2.1267043651677118,-0.6232099388483529
BOH-Acr_o,CAM-B3LYP-D3,2.2309286382933426,-0.5680872694791729
BOH-Acr_p,CAM-B3LYP-D3,2.186947675064317,-0.5880958090572691
CA_1,CAM-B3LYP-D3,1.2308834353966067,-1.3673983569348311
CA_2,CAM-B3LYP-D3,1.282779921642605,-1.6926014799936278
CA_3,CAM-B3LYP-D3,1.704298597642833,-1.2598586472977757
Eos_1,CAM-B3LYP-D3,-0.1345855109587836,-2.1852469358899276
Eos_2,CAM-B3LYP-D3,-0.0059213223970559226,-2.0650362396558277
Eos_3,CAM-B3LYP-D3,-0.08188193470054142,-2.1907398283085673
Eos_Y,CAM-B3LYP-D3,0.20838556531891025,-2.002494111040353
Me2-Acr_1,CAM-B3LYP-D3,0.5380216969176784,-2.535294607847652
Me2-Acr_2,CAM-B3LYP-D3,0.40995561485026377,-2.5357299901846617
Me2-Acr_3,CAM-B3LYP-D3,0.5455306816849556,-2.4996626451826507
Mes-Acr_1,CAM-B3LYP-D3,1.9933307002816396,-0.7201342107339149
NCE_1,CAM-B3LYP-D3,1.3054481030724658,-1.9894603964957054
NCE_2,CAM-B3LYP-D3,1.0469621531673519,-1.9920016687824837
NCE_3,CAM-B3LYP-D3,1.2397472755693184,-2.1078209899085985
NCE_4,CAM-B3LYP-D3,1.0025768285927676,-2.066150546329716
PA_1,CAM-B3LYP-D3,-0.177479923135245,-3.4771131374154947
PA_2,CAM-B3LYP-D3,-0.1418906823620313,-2.5529477289765867
PA_3,CAM-B3LYP-D3,-0.04908567162691693,-2.8860416126777015
PDI_1,CAM-B3LYP-D3,1.3416482396877591,-0.8969225696917728
PDI_2,CAM-B3LYP-D3,1.6405907327956384,-0.6982562482404066
PDI_3,CAM-B3LYP-D3,2.081495623730253,-0.335887256103239
Ph-Acr_1,CAM-B3LYP-D3,1.1406362958914227,-1.1703587327477272
Ph-Acr_2,CAM-B3LYP-D3,1.5508023774343278,-0.8417816686820027
POZ_1,CAM-B3LYP-D3,0.28198749380310917,-2.5265507699311764
POZ_2,CAM-B3LYP-D3,0.3541752460314648,-2.5226217164420865
POZ_3,CAM-B3LYP-D3,0.30423770819092477,-2.8757293098875705
POZ_4,CAM-B3LYP-D3,0.31307243217452074,-3.189449495890981
POZ_5,CAM-B3LYP-D3,0.249005104774597,-2.6502698314643625
PTZ_1,CAM-B3LYP-D3,0.3347648129445894,-3.463334919100794
PTZ_2,CAM-B3LYP-D3,0.4960848537696988,-2.997652963515134
PTZ_3,CAM-B3LYP-D3,0.4440917670681396,-2.6628643540487715
Rh_6G,CAM-B3LYP-D3,1.0040995783155924,-1.1739351265416116
Rh_B,CAM-B3LYP-D3,0.9030135955174391,-1.1186078274720574
BF3-Acr_m,M06,1.8507938698568815,-0.8880072999736032
BF3-Acr_o,M06,1.7927070631036899,-1.0411386153643987
BF3-Acr_p,M06,1.8410519179366474,-0.8390216167761982
BOH-Acr_m,M06,2.076333077675226,-0.6409637421424116
BOH-Acr_o,M06,2.065366612922871,-0.5419275938106501
BOH-Acr_p,M06,2.031244610629835,-0.5937206767497533
CA_1,M06,1.141667879911132,-1.3369030895182417
CA_2,M06,0.9270290131712399,-1.5689852775266089
CA_3,M06,1.2907074176771878,-1.207087042563297
Eos_1,M06,-0.07469023481946505,-2.2112713709268537
Eos_2,M06,0.036114570234078686,-2.088821721018619
Eos_3,M06,-0.1462757988532223,-2.1931997385275204
Eos_Y,M06,0.2020779636786921,-2.0410472170246226
Me2-Acr_1,M06,0.5092344888362691,-2.4308374051750623
Me2-Acr_2,M06,0.3502834721568068,-2.4288871644139918
Me2-Acr_3,M06,0.5485380851829232,-2.2087861541172646
Mes-Acr_1,M06,1.9570247113349493,-0.7315317040026311
NCE_1,M06,1.1826798077133307,-1.9699057430062932
NCE_2,M06,0.8971136206052807,-1.9211475470815844
NCE_3,M06,1.0306350433689127,-1.9486433022958773
NCE_4,M06,0.9203820854335923,-1.9426064540670591
