molecule,functional,lambda_abs_max,solvent
Rh_6G,B2GP-PLYP,485.8,methanol
Rh_6G,TPSS,489.79,methanol
Rh_6G,B97D3,507.06,methanol
Rh_6G,TDHF,352.94,methanol
Rh_6G,B3LYP-D3,458.99,methanol
Rh_6G,M062X,431.48,methanol
Rh_6G,CAM-B3LYP-D3,423.05,methanol
Rh_6G,$\omega$-PBEPP86,483.5,methanol
Rh_6G,$\omega$-B97XD,422.27,methanol
Rh_6G,DSD-BLYP,946.4,methanol
POZ_1,$\omega$-B97XD,342.61,DMAC
POZ_1,DSD-BLYP,517.3,DMAC
POZ_1,TDHF,281.37,DMAC
POZ_1,CAM-B3LYP-D3,351.1,DMAC
POZ_1,$\omega$-B2PLYP,347.8,DMAC
POZ_1,B3LYP-D3,454.63,DMAC
POZ_1,M06L,547.78,DMAC
POZ_1,B97D3,601.35,DMAC
POZ_1,B2GP-PLYP,387.7,DMAC
POZ_1,M062X,349.44,DMAC
POZ_1,M06,419.43,DMAC
POZ_1,TPSS,578.75,DMAC
POZ_1,$\omega$-PBEPP86,362.0,DMAC
POZ_1,PBE-D3,617.59,DMAC
POZ_1,SCS-PBE-QIDH,382.4,DMAC
POZ_1,B2PLYP,413.8,DMAC
